scenario_type,duration,nb_nodes,malicious,commission,seed,average_total_offers_delay,average_total_demand_delay,txFinality_tmp_normal,count_offers_quantity_ratio,count_demands_quantity_ratio,expired_offers_quantity_ratio,utlisation_ratio,attack_ratio,seller_profit,buyer_profit,nsp_profit
2,100,4,0,0,4.5,10.486684,8.271139,2.67057,0.4449792,0.5550208,0.05753458,0.1603145,0.0,3.414625,6.585375000000001,0.0
2,500,4,0,0,4.5,11.207882999999999,19.81991,2.629549,0.4724346,0.5275654000000001,0.036790648999999995,0.18520209999999998,0.0,3.9013970000000002,6.098603,0.0
2,1000,4,0,0,4.5,19.476789,17.80145,2.601775,0.5181931,0.4818068999999999,0.05653933,0.1849343,0.0,4.079864,5.920136,0.0
2,5000,4,0,0,4.5,18.151,20.99458,2.605914,0.4923825,0.5076175,0.0024470764,0.1884852,0.0,3.807546,6.192454,0.0
