scenario_type,duration,nb_nodes,malicious,commission,seed,average_total_offers_delay,average_total_demand_delay,txFinality_tmp_normal,count_offers_quantity_ratio,count_demands_quantity_ratio,expired_offers_quantity_ratio,utlisation_ratio,attack_ratio,seller_profit,buyer_profit,nsp_profit
2,1000,4,0,5,4.5,19.794095,18.09241,2.601775,0.5181931,0.4818068999999999,0.04609858,0.1877388,0.0,3.92532,5.66149,0.2065957
2,1000,4,0,10,4.5,19.91853,18.1101,2.601775,0.5181931,0.4818068999999999,0.031102483000000004,0.19655830000000002,0.0,3.718386,5.455305,0.4131541
2,1000,4,0,15,4.5,20.367843,17.16759,2.601775,0.5181931,0.4818068999999999,0.035485384,0.2023095,0.0,3.544852,5.204023,0.6255620000000001
2,1000,4,0,20,4.5,20.044301,16.78056,2.601775,0.5181931,0.4818068999999999,0.04321101,0.206318,0.0,3.420165,4.869752,0.8550413000000001
2,1000,4,0,25,4.5,19.182403,16.68846,2.601775,0.5181931,0.4818068999999999,0.038721934,0.21123379999999997,0.0,3.2926070000000003,4.512321999999999,1.0975356
