scenario_type,duration,nb_nodes,seed,average_total_offers_delay,average_total_demand_delay,txFinality_tmp_normal,count_offers_quantity_ratio,count_demands_quantity_ratio,expired_offers_quantity_ratio,utlisation_ratio
2,100,4,14.5,8.895458999999999,13.613387,2.021262,0.5218588000000001,0.47814119999999993,0.3645661,0.25938910000000004
2,500,4,14.5,23.68419,22.062823,2.018911,0.5062917,0.49370829999999993,0.12168475000000001,0.265699
2,1000,4,14.5,28.110090000000003,18.44539,2.031784,0.5131213,0.4868787,0.054475470000000005,0.26865649999999996
2,5000,4,14.5,25.32922,23.54974,2.0148520000000003,0.4877051,0.5122949,0.009594497,0.2692398
