scenario_type  ,duration ,nb_nodes ,malicious ,commission ,seed ,average_total_offers_delay ,average_total_demand_delay ,txFinality_tmp_normal ,count_offers_quantity_ratio ,count_demands_quantity_ratio ,expired_offers_quantity_ratio ,utlisation_ratio    ,attack_ratio ,seller_profit      ,buyer_profit       ,nsp_profit
Low G - High R ,    1000 ,       4 ,        0 ,        10 , 5.0 ,         7.014063636363637 ,        27.9134            ,    2.606509090909091 ,         0.2617368181818182 ,         0.7382631818181818  ,         0.004675566363636364 ,0.12035653636363636 ,         0.0 ,2.544092727272727  ,6.890554545454545  ,0.28267681818181817
RANDOM UNIFORM ,    1000 ,       4 ,        0 ,        10 , 5.0 ,        22.122272727272726 ,        17.3184            ,    2.606509090909091 ,         0.5177364545454546 ,         0.4822635454545454  ,         0.039679393636363636 ,0.24025263636363636 ,         0.0 ,3.309642727272727  ,5.95488            ,0.3677381818181818
High G - Low R ,    1000 ,       4 ,        0 ,        10 , 5.0 ,        57.15251818181818  ,        17.202334545454548 ,    2.606509090909091 ,         0.7990949090909091 ,         0.20090509090909092 ,         0.32306090909090907  ,0.05129250909090909 ,         0.0 ,5.8855818181818185 ,2.8065118181818183 ,0.6539533636363637
