scenario_type,duration,nb_nodes,malicious,commission,seed,average_total_offers_delay,average_total_demand_delay,txFinality_tmp_normal,count_offers_quantity_ratio,count_demands_quantity_ratio,expired_offers_quantity_ratio,utlisation_ratio,attack_ratio,seller_profit,buyer_profit,nsp_profit
High R - Low G,1000,4,0,10,2.5,8.474668333333334,31.835183333333333,2.6163250000000002,0.24900750000000002,0.7509925000000001,0.0094746,0.05653155000000001,0.0,1.510148,8.154263333333333,0.16779415
Low R - High G,1000,4,0,10,2.5,62.319449999999996,16.9016,2.6163250000000002,0.7984848333333333,0.20151516666666666,0.26197966666666667,0.035489516666666665,0.0,6.380893333333333,2.2011350000000003,0.7089876666666667
RANDOM UNIFORM,1000,4,0,10,2.5,16.440023333333333,19.965833333333332,2.6163250000000002,0.4994658333333333,0.5005341666666666,0.01788661,0.19793666666666665,0.0,3.0421116666666665,6.281863333333334,0.3380125
