scenario_type,duration,nb_nodes,malicious,commission,seed,average_total_offers_delay,average_total_demand_delay,txFinality_tmp_normal,count_offers_quantity_ratio,count_demands_quantity_ratio,expired_offers_quantity_ratio,utlisation_ratio,attack_ratio,seller_profit,buyer_profit,nsp_profit,average_price
Low O - High D,1000,4,0,5,2.0,36.92158,74.01433999999999,2.6597660000000003,0.198155,0.8018449999999999,0.012226560000000001,0.11213042,0.0,5.028278,-4678.45,0.2764136,5.528278
RANDOM-UNIFORM,1000,4,0,5,2.0,41.87895999999999,45.88302,2.65815,0.5006538,0.4993462,0.001557936,0.17697780000000002,0.0,5.4423900000000005,-4033.63,0.29711940000000003,5.9423900000000005
High O - Low D,1000,4,0,5,2.0,89.74884,26.389780000000002,2.65367,0.8242662,0.1757338,0.037363799999999996,0.0678832,0.0,4.1653080000000005,-2896.3959999999997,0.23326539999999998,4.6653080000000005
